u1,"[29.689301,-14.261456,-2.082834,0.141526,-14.241295,-7.736129,-0.748085,-1.007459,-4.004849,-2.532269,5.781349,2.126046,-3.265251,1.376953,6.943934,4.418908,-4.870531,2.951292,3.303008,-3.555192,-3.004584,0.848099,5.962077,-2.916854,2.907791,-9.812254,-1.782422,5.387554,-2.003251,-7.098005,0.355919,-0.420641,1.536792,4.703784,8.394193,-2.408292,-0.105125,0.729120,0.995646,0.971360,-11.060819,5.846738,3.231279,-4.868785,-10.132819,4.302360,-2.613686,2.893461,-0.117690,-1.796228,-4.370943,-2.825380,1.497633,13.110849,-10.551045,-2.002798,5.873664,2.743790,7.389539,4.275465,3.931748,-7.530243,2.782009,-7.980868]"
u2,"[3.135071,4.101645,-0.845636,-2.273741,0.230912,2.276606,-0.889404,0.926748,-2.481681,-1.725171,0.787365,1.737419,-0.804643,-2.408616,1.125129,-0.586922,0.486662,-0.955578,0.533327,0.328069,-0.007347,1.138654,0.184268,0.256715,-0.197945,-0.355258,-0.884772,-0.861667,-0.290440,-0.860030,1.939332,0.775371,-0.504203,0.131660,-1.255602,0.447671,-1.205401,-0.079807,-1.024036,-0.316301,0.588129,-2.225653,-1.002436,2.338281,-1.035488,-1.295102,0.233722,1.190694,-0.108239,-0.177359,0.295911,-0.261781,0.017885,0.379587,0.013184,-0.136934,0.289211,-0.945557,0.466580,-0.559863,0.275777,0.438260,0.891742,-0.317382]"
u3,"[0.723196,-0.478346,0.327893,0.334162,-1.142070,0.030348,-0.202067,0.052407,0.261971,0.081756,0.460980,-0.218513,-0.354367,-0.569793,0.107579,0.736284,-0.102534,0.412359,0.696307,0.234143,0.266938,-0.064789,0.021891,0.376819,-0.106872,0.286374,-0.042678,0.573314,0.626748,0.246555,0.286918,0.003604,0.288315,-0.267424,-0.360071,0.010731,-0.091071,-0.174760,0.221471,-0.145759,-0.352530,0.375395,-0.277860,0.461980,-0.208923,-0.167067,-0.198111,-0.304662,0.259513,0.059318,-0.447520,-0.097782,0.660859,0.105269,-0.323217,0.448904,0.692102,-0.225459,0.271664,0.148926,0.050868,-0.272944,-0.211169,-0.400901]"
u4,"[17.294950,-12.540006,6.530553,-6.237596,2.140876,-1.063716,-5.333318,-5.302653,-5.022921,3.104393,0.293330,-2.942278,6.494855,3.007298,0.763769,-4.660151,-0.465888,-2.056260,-2.365211,0.392394,-4.879146,-0.802498,0.628604,-3.456496,3.172317,1.206842,1.744143,-1.939172,-1.949152,-2.234671,-0.737520,0.310348,-6.060559,0.611663,6.508573,-1.095357,1.108587,-0.095350,-3.262474,-0.663462,1.481723,2.656316,-2.259827,-1.605585,-1.891124,2.340260,-1.485206,2.514469,-3.433324,-0.097929,0.194696,-5.922318,-2.545868,3.633997,3.097915,-2.393448,3.676082,-0.370894,-1.549167,3.020232,3.743661,-2.940875,-2.060784,-3.802771]"
u5,"[6.097067,-5.338446,-9.279404,0.335627,3.807916,4.823503,-0.856970,-1.656401,0.506260,-0.273974,0.145336,-1.098042,0.386845,0.571282,-1.037717,-0.786639,-1.272493,-0.785784,1.375851,-0.502343,-0.174163,0.458324,-0.334315,-0.044208,-0.496568,-0.431841,0.576132,1.175876,-0.724578,-1.271847,-0.252857,-0.551265,-0.358798,-0.716023,1.060043,0.122167,-0.192733,-2.141328,-0.885993,-0.678876,-0.501005,1.637503,-1.678643,0.200809,-0.491797,1.304089,0.037750,-1.547307,-1.003932,0.214830,-0.566559,0.230264,0.132999,-0.195023,0.453925,1.433199,0.972084,0.441557,0.203942,0.262216,1.426866,-0.263265,1.428588,-0.727491]"
u6,"[16.851936,-17.022999,-26.480356,14.169885,10.566260,17.746853,1.646346,-4.137192,1.724186,1.215637,3.384826,0.736236,-2.408710,-2.362503,0.017335,-1.080364,2.320784,0.045559,-3.523864,5.526078,-7.674304,-0.344651,1.533466,6.091078,-0.477477,0.903159,-1.465875,-3.236805,2.761965,0.337613,-1.475397,7.282097,-0.164267,-0.440975,1.170148,-1.764639,-0.671963,0.713024,3.040560,-1.721883,-0.737264,-1.608341,0.024146,2.536906,0.302347,-1.532477,1.157959,0.679345,3.435454,1.018998,5.746267,-4.805357,2.892636,4.469370,-2.711308,-5.238737,0.612421,0.234301,-2.506177,6.128008,7.871685,-3.630182,-5.250788,3.967673]"
u7,"[18.233387,2.390809,-5.632226,-2.400374,1.271451,-7.769225,0.042403,4.550943,5.430921,1.355890,-2.929455,-1.615861,1.360136,3.468858,-2.930309,-0.502126,2.163952,-0.006391,-2.104531,-0.515124,0.948131,0.710569,-2.484086,0.506288,1.805290,-1.518695,2.117854,-0.057293,1.316111,3.049850,-1.357747,-1.792253,0.536370,-1.492919,-1.464163,-0.128631,1.917973,2.413288,1.149792,2.293414,-0.275063,0.440757,-1.861511,-1.167632,1.767177,1.112898,0.351473,-2.791615,0.072329,-1.897676,-0.386188,3.649492,-0.117012,0.252978,0.077036,2.123269,0.566262,1.176906,4.001379,-0.688080,-2.030917,0.153441,1.576160,-1.298776]"
u8,"[7.591241,-6.047363,-13.157773,0.734171,4.310645,6.313281,0.156438,-2.011245,0.048801,-0.504146,-0.303083,-0.371109,0.322576,0.043993,-0.925663,-0.247154,-1.113411,-1.147952,2.164469,-0.404539,2.592910,-0.977764,-1.490765,-1.385777,-1.537446,0.428641,1.147663,0.119221,-0.646638,0.186214,0.546634,-0.845350,0.466373,0.128945,0.107848,-0.296741,0.364512,-1.591864,-1.019717,0.664676,-0.304890,0.813925,-0.255920,-0.170492,0.098997,0.722630,-0.970081,-0.207544,0.441440,-0.575098,-0.135688,1.953163,-0.954359,-0.248386,0.534494,-0.179089,0.418909,-0.764258,-0.102159,0.690849,-1.865010,0.132404,0.391970,-0.984400]"
u9,"[3.506132,0.196752,0.666200,-0.939888,-0.088267,-1.437891,-0.266293,0.878839,1.114463,0.265713,0.828331,0.375518,0.622289,1.215447,-1.654726,-0.501851,0.553042,-0.109749,-1.081186,0.531771,-0.107078,0.790694,-0.282563,0.881354,-0.542338,-1.015429,0.899861,-0.751232,-0.823696,1.447978,-1.065818,-1.067779,0.247248,0.888199,-0.380227,-2.076428,1.532253,0.604616,0.297141,-0.345347,0.448052,-0.451340,0.207770,1.797333,0.235194,-0.661103,1.500985,-0.303659,1.040138,-0.053026,-0.102816,-0.220115,0.591484,1.706840,-0.618240,-0.775945,0.201289,0.014176,-1.149345,-0.135310,-0.450025,-0.255694,-0.132060,0.441175]"
u10,"[8.583310,8.000506,-1.459364,-0.383831,6.690678,-2.296277,-5.435725,2.402527,-3.531867,1.724838,0.470637,-1.274064,1.010152,-1.686473,-2.283529,-1.421671,1.940488,0.695507,0.314705,0.807982,4.465090,0.469560,2.411370,-0.819016,-0.351459,3.941052,-1.680035,1.273373,2.046862,2.455261,-0.828665,-1.574271,0.703675,-2.770416,-1.044965,-0.810289,3.601660,3.164473,0.335471,1.842046,-0.185337,0.311492,-1.815015,-0.297125,-0.045701,-2.302093,-1.188136,-0.288320,0.356511,1.020796,0.582271,-1.439752,2.118691,-0.208416,-2.098526,-0.396545,-2.368170,0.909689,-1.483652,-0.704939,2.334796,-0.366523,2.262719,0.279077]"
u11,"[8.404106,-5.542151,-10.121536,0.942559,-1.197490,2.751191,0.442143,3.835952,0.351054,-0.334255,-3.293935,-0.115673,1.614696,-0.412777,1.640639,1.708140,1.470028,1.496646,-0.822519,-1.324284,0.924198,1.139666,0.088360,-0.959374,-0.770330,1.173531,-0.646119,-0.526200,1.534673,0.536947,1.525238,-2.473599,0.040072,1.805409,-0.585116,2.710846,-0.834414,1.945492,-0.061744,0.917465,-2.098654,-1.351670,2.580069,-1.596918,0.070841,-0.849018,-0.702321,1.082353,-2.939585,0.883832,0.077668,2.535368,0.802622,-0.724919,0.375727,1.312909,0.402726,-0.103434,3.258369,-0.423148,-0.556783,1.226693,1.295766,-0.148409]"
